,_id,l_ID,r_ID,l_name,l_city,l_zipcode,l_review_count,l_latitude,l_longitude,l_rating,l_address,l_zomato_id,l_yelp_id,r_name,r_city,r_zipcode,r_review_count,r_latitude,r_longitude,r_rating,r_address,r_zomato_id,r_yelp_id
15031,15031,a30335,b336,Thai Taste,Charlotte,28203,220,35.210017,-80.855878,3.5,324 East Blvd,0,aIJqDWUt10iS45zYCr0KcQ,300 East,Charlotte,28203,617,35.210862,-80.856527,4.3,300 East Boulevard$*$ Charlotte$*$ NC 28203,17146635,0
15034,15034,a30335,b397,Thai Taste,Charlotte,28203,220,35.210017,-80.855878,3.5,324 East Blvd,0,aIJqDWUt10iS45zYCr0KcQ,Thai Taste,Charlotte,28203,459,35.210508,-80.856277,4.1,324 East Boulevard$*$ Dilworth$*$ Charlotte$*$ NC 28203,17148369,0
15969,15969,a44645,b332,Ru San's,Charlotte,28203,381,35.19773768,-80.85271905,3.5,2440 Park Rd,0,osSwv6CJy5hDKQdOKeyTow,Ru Sans,Charlotte,28203,1182,35.197861,-80.851802,4.3,2440 Park Road$*$ Charlotte$*$ NC 28203,17148099,0
16143,16143,a48161,b392,South End Fieldhouse,Charlotte,28203,3,35.2205488,-80.8583586,4.5,1327 S Mint St,0,JS_SUNjiwXvkzCz-QVMGCQ,Sullivan's Steakhouse,Charlotte,28203,486,35.210526,-80.859246,4.1,1928 South Boulevard$*$ Charlotte$*$ NC 28203,17148288,0
16246,16246,a51824,b307,Boardwalk Billy's,Charlotte,28203,10,35.209084,-80.857952,3.0,1514 E Blvd,0,hd4DGQ3rZkg2lzw4x4D-5A,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0
16308,16308,a52452,b312,Pike's Old Fashioned Soda Shop,Charlotte,28203,230,35.2109878,-80.861,3.5,1930 Camden Rd,0,NbrXg59fYR3MoeXdeAIQIQ,Price's Chicken Coop,Charlotte,28203,1093,35.214563,-80.857329,4.5,1614 Camden Road$*$ Charlotte$*$ NC 28203,17147994,0
16477,16477,a57198,b308,Lowe's,Charlotte,28203,48,35.2055386,-80.8605669,3.5,217 Iverson Way,0,qrPbFiwRT5F_4HLHZVL26Q,Pike's,Charlotte,28203,1056,35.211284,-80.86008,4.6,1930 Camden Road$*$ Charlotte$*$ NC 28203,17147968,0
16530,16530,a58911,b333,Hops and Shops,Charlotte,28203,3,35.2084339,-80.861273,4.5,2000-2104 South Blvd,0,ItQMDgwz39QVvyWJFywPrA,Mac's Speed Shop,Charlotte,28203,1673,35.202942,-80.864358,4.3,2511 South Boulevard$*$ Charlotte$*$ NC 28203,17147666,0
16560,16560,a59886,b333,Savory Spice Shop,Charlotte,28203,75,35.20917125,-80.86025189,4.5,2000 S Blvd$*$ Ste 150,0,NRFKiCg_6WJtuGpfb9dxVw,Mac's Speed Shop,Charlotte,28203,1673,35.202942,-80.864358,4.3,2511 South Boulevard$*$ Charlotte$*$ NC 28203,17147666,0
16636,16636,a63958,b307,Bad Daddy's Burger Bar,Charlotte,28203,386,35.199097,-80.840805,4.0,1626 East Blvd,0,yWUBX9Pe6pzh1PjVj04UmQ,Bad Daddy's,Charlotte,28203,1363,35.199007,-80.8408317,4.6,1626 East Boulevard$*$ Charlotte$*$ NC 28203,17148552,0
