ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id
b1102,Tartine Bakery,600 Guerrero Street$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.76148611,-122.42395,1351,4.9,16851686,0
b1103,Delfina,3621 18th Street$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.76153889,-122.4243694,1495,4.8,16842751,0
b1104,Burma Superstar,309 Clement Street$*$ San Francisco$*$ CA 94118,San Francisco,94118,37.78303611,-122.4625472,844,4.7,16841211,0
b1105,Bi-Rite Creamery & Bakeshop,3692 18th Street$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.76148333,-122.4257056,542,4.7,16852987,0
b1106,Mitchell's Ice Cream,688 San Jose Avenue$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.744197,-122.42278,582,4.7,16847339,0
b1107,Brenda's French Soul Food,652 Polk Street$*$ San Francisco$*$ CA 94102,San Francisco,94102,37.78292,-122.418769,786,4.6,16853056,0
b1108,Honey Honey,599 Post Street$*$ San Francisco$*$ CA 94102,San Francisco,94102,37.78789444,-122.4115972,534,4.6,16859330,0
b1109,Suppenkche,525 Laguna Street$*$ San Francisco$*$ CA 94102,San Francisco,94102,37.776085,-122.426272,826,4.6,16851090,0
b1110,Ike's Place,3489 16th Street$*$ San Francisco$*$ CA 94114,San Francisco,94114,37.76426667,-122.4306111,558,4.6,16853221,0
b1111,The Slanted Door,Ferry Building$*$ Level 1$*$ 1 Ferry Plaza$*$ Suite 5$*$ San Francisco$*$ CA 94111,San Francisco,94111,37.79626389,-122.3936778,2019,4.5,16850231,0
b1112,Foreign Cinema,2534 Mission District Street$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.75653056,-122.4190444,1128,4.5,16843658,0
b1113,Kokkari Estiatorio,200 Jackson Street$*$ San Francisco$*$ CA 94111,San Francisco,94111,37.79702778,-122.3994056,550,4.5,16845743,0
b1114,Hog Island Oyster Company,Ferry Building$*$ Level 1$*$ 1 Ferry Plaza$*$ Suite 11A$*$ San Francisco$*$ CA 94111,San Francisco,94111,37.7961,-122.3934333,370,4.5,16844513,0
b1115,House Of Prime Rib,1906 Van Ness Avenue$*$  San Francisco$*$ CA 94109,San Francisco,94109,37.79329167,-122.4230278,586,4.5,16844681,0
b1116,Humphry Slocombe,2790 A Harrison Street$*$ San Francisco$*$ CA 94110,San Francisco,94110,37.75279722,-122.412025,364,4.5,16857688,0
b1117,Hollywood Cafe,530 North Point Street$*$ San Francisco$*$ CA 94133,San Francisco,94133,37.80634722,-122.415825,335,4.5,16858698,0
b1118,Gary Danko,800 North Point Street$*$ San Francisco$*$ CA 94109,San Francisco,94109,37.80570556,-122.4205639,763,4.4,16849345,0
b1119,House of Nanking,919 Kearny Street$*$ San Francisco$*$ CA 94133,San Francisco,94133,37.796475,-122.4050917,930,4.4,16844677,0
b1120,Boudin Bakery,160 Jefferson Street$*$ San Francisco$*$ CA 94133,San Francisco,94133,37.80878,-122.414644,470,4.4,16840976,0
b1121,Boulevard,1 Mission Street$*$ San Francisco$*$ CA 94105,San Francisco,94105,37.793566,-122.392782,807,4.4,16840989,0
b1122,Fog Harbor Fish House,Pier 39$*$ Suite 202$*$ San Francisco$*$ CA 94133,San Francisco,94133,37.80885,-122.4102083,538,4.4,16852997,0
