ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id,wifi,restaurantsreservations,businessparking,wheelchairaccessible,outdoorseating,is_expensive
65382,Ginza of Tokyo West,6734 Odana Rd$*$ Madison$*$ WI 53719,Madison,53719,43.056664,-89.49812915,236,3.555932203,17502221,f1loh_1c_zp6P1Zv9KSaPg,0,1,1,1,0,1
66015,The Nile,6119 Odana Road$*$ Madison$*$ WI 53719,Madison,53719,43.05317385,-89.48602515,356,4.061797753,17503651,nJClfvVwSrr2uuo_y2wO4w,1,1,1,0,0,0
66695,Saigon Noodles,6754 Odana Rd$*$ Madison$*$ WI 53719,Madison,53719,43.05692285,-89.49860975,500,4.0932,17502587,HHCn1akqIpl_BhdcJoYPbw,0,0,1,1,0,0
67747,Takara Japanese Restaurant,449 State St Ste 2G$*$ Madison$*$ WI 53703,Madison,53703,43.0746815,-89.39164275,366,3.895081967,17502747,mOzxFBAHWwpuH7u5xP0oHw,0,1,1,1,1,0
68623,Marigold Kitchen,118 S Pinckney St$*$ Madison$*$ WI 53703,Madison,53703,43.07437152,-89.38172875,1013,4.227443238,17502369,BuS11AF9XSHEShscxQEzeg,0,0,1,0,1,0
69904,The Old Fashioned,23 N Pinckney St$*$ Madison$*$ WI 53703,Madison,53703,43.07623163,-89.38364561,2846,4.452565004,17502451,RJNAeNA-209sctUO0dmwuA,1,0,1,0,1,0
70021,Bandung Indonesian Restaurant,600 Williamson St$*$ Madison$*$ WI 53703,Madison,53703,43.076452,-89.3750828,431,4.060788863,17501972,NiBzh0kHusvH5rdnpm7yVw,1,1,1,1,1,0
70310,Sardine,617 Williamson St$*$ Madison$*$ WI 53703,Madison,53703,43.07616722,-89.37459276,780,4.117179487,17502592,SBnpT6JDbah-5l_52GM5sw,0,1,1,1,1,1
70423,Eldorado Grill,744 Williamson St$*$ Madison$*$ WI 53703,Madison,53703,43.077955,-89.3722365,444,4,17502172,Wcw-xq_c89e4AaRsUtkaLw,0,1,1,1,1,1
70683,Natt Spil,211 King St$*$ Madison$*$ WI 53703,Madison,53703,43.07453777,-89.37982221,422,4.063270142,17503325,VGKq16vCdPPHMoryy6XTHg,0,0,1,0,1,0
72548,Ian's Pizza By The Slice,319 N Frances St$*$ Madison$*$ WI 53703,Madison,53703,43.07269675,-89.3956178,785,4.322547771,17502267,c7ZTyqSG4v4ZVwK3vuDklQ,1,0,1,1,0,0
72552,Ian's Pizza By The Slice,100 State St$*$ Madison$*$ WI 53703,Madison,53703,43.07381435,-89.39092385,667,4.231634183,17502268,c7ZTyqSG4v4ZVwK3vuDklQ,1,0,1,1,0,0
72746,Ian's Pizza by the Slice,319 N Frances St$*$ Madison$*$ WI 53703,Madison,53703,43.07369583,-89.39127516,957,4.264576803,17502267,aVBFKYoF0AHuusNssaQpJA,1,0,1,1,1,0
72750,Ian's Pizza,100 State St$*$ Madison$*$ WI 53703,Madison,53703,43.07481343,-89.38658121,839,4.184147795,17502268,aVBFKYoF0AHuusNssaQpJA,1,0,1,1,1,0
73386,Kabul Afghanistan Restaurant,540 State St$*$ Madison$*$ WI 53703,Madison,53703,43.0749155,-89.3943725,420,3.897142857,17502314,IsADZMYEJKXTtPfN9YsiBA,1,1,1,0,1,0
76321,Restaurant Muramoto,225 King St$*$ Madison$*$ WI 53703,Madison,53703,43.0742785,-89.379708,468,4.092948718,17502566,3QfcfPCJSo0z2v1bkdUemQ,-1,1,1,1,1,0
76659,Parthenon Gyros Restaurant,316 State St$*$ Madison$*$ WI 53703,Madison,53703,43.074957,-89.3905085,290,3.8,17502488,skJ-AlN0DT9pmBDz0ixeJw,1,0,1,1,1,0
77161,Osteria Papavero,128 E Wilson St$*$ Madison$*$ WI 53703,Madison,53703,43.07386933,-89.37967272,300,3.943,17502485,G099MT9cwtwgdsR71JLp6w,0,0,1,1,1,1
77487,Mediterranean Cafe,625 State St$*$ Madison$*$ WI 53703,Madison,53703,43.0747867,-89.3961762,293,4.283276451,17502390,oezMXnkdUQMuMH7RuKaiyw,0,0,1,0,0,0
78185,Vientiane Palace Restaurant,151 W Gorham St$*$ Madison$*$ WI 53703,Madison,53703,43.07568935,-89.39010815,264,3.76969697,17502738,dfHA5n6e3f58nMCNHt589Q,0,0,1,1,0,0
78299,Graze,1 S Pinckney Street$*$ Madison$*$ WI 53703,Madison,53703,43.07526903,-89.38248123,1246,4.037640449,17503559,XmsBtCykUtObXg4Q1mYpvg,1,0,1,1,1,1
78852,Tornado Steak House,116 S Hamilton St$*$ Madison$*$ WI 53703,Madison,53703,43.072515,-89.38437,1006,4.256858847,17502709,ewEDv_q-K0fV0FepkHB8sA,0,1,1,1,1,1
